authorization_id,beneficiary_code,ranges,authorization_name,item_pack_id,item_pack_name,item_description,is_delivered,is_override,assigned_code,sector
"24a29c8a-b97b-4840-9448-23809f040a3a","2000","{""ranges"":[{""min"":500,""max"":1200}]}","Central Specific","d0484faf-8f3c-42ec-bfb2-d9edb04f3e52","central_item","Intended for Minors in Central Sector","true","true","","Central"
"ee858e8e-8f0d-4bd6-a12e-5475af3dfbbb","2000","{""ranges"":[{""min"":300,""max"":900}]}","South Specific","5c8dd8d3-75f7-4b0f-8497-3cf0a989d7ad","south_item","Intended for Minors in South Sector","true","true","","Central"
"d419188d-032a-486f-9957-335bfdb2bb04","2000","{""ranges"":[]}","Number Equality Test","0fcf4e86-70ea-41aa-ac4b-48b8c84341ac","number equality","test number equality","true","true","","Central"
"fbc9c4f7-222d-4785-91cf-ef9aaefb8d0a","2000","{""ranges"":[{""min"":0,""max"":500}]}","Greater/Less Test","7fdff557-cdf5-4ce8-b1d1-5bebf418dd3b","greater/less","test greater than and less than","true","true","","Central"
"57c58100-17a2-4754-9087-b9a4a5094e96","2000","{""ranges"":[{""min"":-200,""max"":500}]}","North Specific","008db0a3-ee8a-4e08-be0e-14919d3226ea","north_item","Intended for Minors in North Sector","true","true","","Central"
"d4f76515-3210-4b9a-a1a8-f46b0ff1f1f0","2000","{""ranges"":[{""min"":-1000,""max"":1000}]}","String Equality Test","2f06e405-6b1e-4792-89d4-6381abe46573","equality","test string equality","true","true","","Central"
"1c309120-0362-4008-8568-4f6c497da706","2000","{""ranges"":[]}","Valid Voucher","eb35b35f-956d-42c4-b029-aef648436c65","voucher","this voucher should be received by 1100-1105 and 1107-1109","true","true","","Central"
"d4f76515-3210-4b9a-a1a8-f46b0ff1f1f0","163","{""ranges"":[{""min"":-1000,""max"":1000}]}","String Equality Test","2f06e405-6b1e-4792-89d4-6381abe46573","equality","test string equality","false","false","","North"
"d4f76515-3210-4b9a-a1a8-f46b0ff1f1f0","757","{""ranges"":[{""min"":-1000,""max"":1000}]}","String Equality Test","2f06e405-6b1e-4792-89d4-6381abe46573","equality","test string equality","false","false","","South"
"d4f76515-3210-4b9a-a1a8-f46b0ff1f1f0","407","{""ranges"":[{""min"":-1000,""max"":1000}]}","String Equality Test","2f06e405-6b1e-4792-89d4-6381abe46573","equality","test string equality","false","false","","Central"
"fc47aae5-5ad0-4102-8ace-6d94347b5e87","967","{""ranges"":[{""min"":0,""max"":1},{""min"":2000,""max"":2996},{""min"":-3,""max"":-2},{""min"":3,""max"":4}]}","Barcode Assignment","e3e1ea5e-6d92-4194-8c74-c959bfda46f2","assign","test assignment of item barcodes. Also, should be assigned to all beneficiaries","false","false","2962","North"
"fc47aae5-5ad0-4102-8ace-6d94347b5e87","401","{""ranges"":[{""min"":-3,""max"":-2},{""min"":2000,""max"":2996},{""min"":3,""max"":4},{""min"":0,""max"":1}]}","Barcode Assignment","e3e1ea5e-6d92-4194-8c74-c959bfda46f2","assign","test assignment of item barcodes. Also, should be assigned to all beneficiaries","false","false","2396","North"
"fbc9c4f7-222d-4785-91cf-ef9aaefb8d0a","992","{""ranges"":[{""min"":0,""max"":500}]}","Greater/Less Test","7fdff557-cdf5-4ce8-b1d1-5bebf418dd3b","greater/less","test greater than and less than","false","false","","Central"
