_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,Procedure_id,Source,Temperature,Time,_row_etag,_filter_type,_filter_value
ea593606-6c6c-48f7-9fcf-d6fe7be2d8ad,,default,COMPLETE,2014-02-21T19:33:52.063000000,anonymous,1338122768,UKZN Lab Milk A,17.9,0,,,
34015068-e22e-4720-b4df-41c2c8e5c87f,,default,COMPLETE,2014-02-21T19:33:52.065000000,anonymous,1338122768,UKZN Lab Milk A,17.8,1,,,
25282811-6e63-4916-9d9c-ef9517723dcb,,default,COMPLETE,2014-02-21T19:33:52.067000000,anonymous,1338122768,UKZN Lab Milk A,17.9,2,,,
d12bc7a4-07de-4982-8d42-8e5ec97f910f,,default,COMPLETE,2014-02-21T19:33:52.070000000,anonymous,1338122768,UKZN Lab Milk A,17.9,3,,,
d61438d3-d483-46ff-8090-bfa0c9f18105,,default,COMPLETE,2014-02-21T19:33:52.071000000,anonymous,1338122768,UKZN Lab Milk A,17.9,4,,,
434a40f8-25ad-4297-a30c-e5cc05a61b3d,,default,COMPLETE,2014-02-21T19:33:52.073000000,anonymous,1338122768,UKZN Lab Milk A,17.8,5,,,
18b619e1-9fdc-49fc-9ffe-b45f691c52a3,,default,COMPLETE,2014-02-21T19:33:52.075000000,anonymous,1338122768,UKZN Lab Milk A,17.9,6,,,
fb902d0f-f1d2-4c0f-95ab-8d968282053b,,default,COMPLETE,2014-02-21T19:33:52.077000000,anonymous,1338122768,UKZN Lab Milk A,17.9,7,,,
32baadc2-7f44-467d-ab51-dd5aada2d527,,default,COMPLETE,2014-02-21T19:33:52.078000000,anonymous,1338122768,UKZN Lab Milk A,17.9,8,,,
a9be61da-caa2-4511-800a-6cb00faad5a3,,default,COMPLETE,2014-02-21T19:33:52.080000000,anonymous,1338122768,UKZN Lab Milk A,17.9,9,,,
011633e1-7934-47d3-827e-c61eec4944b5,,default,COMPLETE,2014-02-21T19:33:52.082000000,anonymous,1338122768,UKZN Lab Milk A,17.9,10,,,
d9755937-15c2-4820-a8ef-ee0c1bcb5da1,,default,COMPLETE,2014-02-21T19:33:53.014000000,anonymous,1338122768,UKZN Lab Milk A,17.9,11,,,
d63a876e-7ebd-4ec1-bd32-236a77d9ba13,,default,COMPLETE,2014-02-21T19:33:53.016000000,anonymous,1338122768,UKZN Lab Milk A,17.9,12,,,
3ce38b5a-1c71-48c4-9b49-0613801ab97a,,default,COMPLETE,2014-02-21T19:33:53.018000000,anonymous,1338122768,UKZN Lab Milk A,17.9,13,,,
db067a3a-a722-479a-9f0b-421225194e04,,default,COMPLETE,2014-02-21T19:33:53.019000000,anonymous,1338122768,UKZN Lab Milk A,17.9,14,,,
539948df-85f8-4617-9eb3-09846e9784d6,,default,COMPLETE,2014-02-21T19:33:53.021000000,anonymous,1338122768,UKZN Lab Milk A,17.9,15,,,
04dc5b0c-e086-4b7d-b07b-05b68c151ac6,,default,COMPLETE,2014-02-21T19:33:53.023000000,anonymous,1338122768,UKZN Lab Milk A,17.9,16,,,
853df9b8-f6dc-4aa0-a9f9-554969b0d21b,,default,COMPLETE,2014-02-21T19:33:53.025000000,anonymous,1338122768,UKZN Lab Milk A,18.1,17,,,
66c5a343-cadf-4ec9-99ec-d8c8590c4edd,,default,COMPLETE,2014-02-21T19:33:53.027000000,anonymous,1338122768,UKZN Lab Milk A,18.2,18,,,
13a0270a-2105-4aac-a3bc-0fd8f38c1c1a,,default,COMPLETE,2014-02-21T19:33:53.029000000,anonymous,1338122768,UKZN Lab Milk A,18.2,19,,,
22681285-cb09-4e3c-ba6c-9a21f587d3bd,,default,COMPLETE,2014-02-21T19:33:53.031000000,anonymous,1338122768,UKZN Lab Milk A,18.4,20,,,
82d7bed2-1f27-4ad1-952c-a4c75e1b4667,,default,COMPLETE,2014-02-21T19:33:53.034000000,anonymous,1338122768,UKZN Lab Milk A,18.5,21,,,
61b4d1bb-b065-4c42-bf55-9198026aad73,,default,COMPLETE,2014-02-21T19:33:53.036000000,anonymous,1338122768,UKZN Lab Milk A,18.6,22,,,
99eb072b-8d31-402e-afbb-053e32617991,,default,COMPLETE,2014-02-21T19:33:53.038000000,anonymous,1338122768,UKZN Lab Milk A,18.6,23,,,
c39beb59-49a2-436c-bd39-7c1c32bcc5ab,,default,COMPLETE,2014-02-21T19:33:53.042000000,anonymous,1338122768,UKZN Lab Milk A,18.7,24,,,
721dabfe-e085-4b89-b22e-0b8abe108aaf,,default,COMPLETE,2014-02-21T19:33:53.044000000,anonymous,1338122768,UKZN Lab Milk A,18.8,25,,,
03a3771a-6ba6-4a64-8fe2-32e0f43bb53d,,default,COMPLETE,2014-02-21T19:33:53.046000000,anonymous,1338122768,UKZN Lab Milk A,18.9,26,,,
606cacbb-d5db-4370-bedd-8b6a6d35c790,,default,COMPLETE,2014-02-21T19:33:53.048000000,anonymous,1338122768,UKZN Lab Milk A,19.1,27,,,
6aaefdd4-8c76-469f-a43d-8d5720d8a969,,default,COMPLETE,2014-02-21T19:33:53.050000000,anonymous,1338122768,UKZN Lab Milk A,19.1,28,,,
90390cb7-6958-46d0-a791-7fbb0847b43a,,default,COMPLETE,2014-02-21T19:33:53.052000000,anonymous,1338122768,UKZN Lab Milk A,19.1,29,,,
