_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,as_of_date,description,location_accuracy,location_altitude,location_latitude,location_longitude,obj_name,photo_contentType,photo_uriFragment,price,quantity,scancode,type_of_store,_filter_type,_filter_value,_row_etag
56ff9690-6206-4cc8-8535-143724ee5884,,default,COMPLETE,2016-11-21T18:25:51.064000000,anonymous,2016-11-18T12:11:02.0.9625206,Pack more fun in this co-branded Disney and Americ...,,,47.70229941,-122.3187381,"American Tourister Star Wars Softside 18"" Upright - Star Wars Darth Vader",image/jpg,91f82dcfad5306ef7253ef95c4c3125a.jpg,37.99,42,,"[""large"",""chain_store"",""in_mall""]",DEFAULT,,
7c81bf55-fb33-4d46-957f-8b0fa5ae470e,,default,COMPLETE,2016-11-21T18:25:51.533000000,anonymous,2016-11-18T12:11:02.0.7818853,Solid joint pliers. High leverage rivet location f...,,,47.65563408,-122.3277995,Craftsman 9-45103 8-Inch Long Nose Pliers,image/jpg,977a3cecf1f47272dde497b28577c549.jpg,16.98,42,648738451031,"[""medium"",""single_site"",""in_mall""]",DEFAULT,,
5f22c4fb-3fdd-436f-b478-f960479c8123,,default,COMPLETE,2016-11-21T18:25:51.582000000,anonymous,2016-11-18T12:11:02.0.5651752,Natural Sleep and well being are evident in our 11...,,,47.68254145,-122.3971474,11 inch Gel Memory Foam Mattress - Cool Gel Infused - Triple-Layered - CertiPUR-US Certified - Medium Firm - 20-Year Warranty - Queen Size [Queen],image/jpg,c882e3e3faef45fa1c3f75be0654b302.jpg,389.99,44,608938026163,"[""medium"",""single_site"",""in_mall""]",DEFAULT,,
a6025068-0cfa-4fe5-9c38-806031d00a19,,default,COMPLETE,2016-11-21T18:25:51.616000000,anonymous,2016-11-18T12:11:02.0.7723423,100% Nylon. Machine Wash. Half slip featuring elas...,,,47.64359068,-122.3533631,Vanity Fair Women's Tricot Double Slit Half Slip 11717 [],image/jpg,5a249a768f97c5591f30c8839d7957b4.jpg,9.9,89,754382227523,"[""large"",""chain_store"",""street_front""]",DEFAULT,,
98c2376e-90a9-4268-8d9a-81d0c54fc901,,default,COMPLETE,2016-11-21T18:25:51.649000000,anonymous,2016-11-18T12:11:02.0.6109311,High Quality German Filters,,,47.63221748,-122.3714576,B+W 72mm Slim-Line Circular Polarizer with Multi-Resistant Coating [72 mm],image/jpg,7b69bbe76ec4f0225ed1d813ce3f38b0.jpg,218.0,22,012240264586,"[""small"",""single_site"",""street_front""]",DEFAULT,,
22f24a53-5a8e-41fc-80c3-0d968004184b,,default,COMPLETE,2016-11-21T18:25:51.682000000,anonymous,2016-11-18T12:11:02.0.0204578,This palette consists of 12 vibrant basic shades i...,,,47.6194167,-122.4038365,Coastal Scents Creative Me #1 Makeup Palette [CREATIVE ME PALETTE],image/jpg,98b7e559868be0fc2fc4465149aede3f.jpg,19.68,65,609722106139,"[""small"",""chain_store"",""street_front""]",DEFAULT,,
8c1552ca-5d22-4206-83ee-0696ea5d8de7,,default,COMPLETE,2016-11-21T18:25:51.714000000,anonymous,2016-11-18T12:11:02.0.4449471,Nine West offers a quick edit of the runways -- pi...,,,47.65865236,-122.2846328,Nine West Women's Gaget Dress Pump [],image/jpg,1b278da58ace038725d1351e7e9c7a49.jpg,112.0,90,740346808846,"[""medium"",""single_site"",""in_mall""]",DEFAULT,,
eb4d4b44-e1ef-42f8-9a2e-2b23bdf02af7,,default,COMPLETE,2016-11-21T18:25:51.816000000,anonymous,2016-11-18T12:11:02.0.1817502,In a busy day of work the last thing you need is d...,,,47.71569579,-122.3371179,Dunham by New Balance Men's REVchase Slip-On [],image/jpg,8b330b4776f3d86cb0e6bc75d929e0bf.jpg,144.94,63,887057063475,"[""medium"",""chain_store"",""in_mall""]",DEFAULT,,
559f40f3-b5e7-4650-8a3b-fd1eb52412a4,,default,COMPLETE,2016-11-21T18:25:51.853000000,anonymous,2016-11-18T12:11:02.0.0835712,Value Series Acrylic Paints like Liquitex BASICS a...,,,47.63725781,-122.319993,"Liquitex Professional Heavy Body Acrylic Paint 4.65-oz tube, Ultramarine Blue (Green Shade)",image/jpg,b69fff5838db35ee46a1d892bf3995c8.jpg,16.49,90,094376922776,"[""small"",""single_site"",""street_front""]",DEFAULT,,
5283289f-52cc-4ab2-8719-d0ab5f322f2a,,default,COMPLETE,2016-11-21T18:25:51.981000000,anonymous,2016-11-18T12:11:02.0.5520570,The Neumok is a six-eyelet balmoral with classic A...,,,47.5892441,-122.308531,Allen Edmonds Men's Neumok Lace-Up Wingtip Shoe [],image/jpg,407b6786458639aa6d2ad7683140cde7.jpg,274.0,23,886698078725,"[""large"",""single_site"",""in_mall""]",DEFAULT,,
6c8bf035-7787-4ce3-ad41-f9eb0304932f,,default,COMPLETE,2016-11-21T18:25:52.013000000,anonymous,2016-11-18T12:11:02.0.1545592,We think kids deserve the same high-quality boots ...,,,47.66241558,-122.2766766,KEEN Alamosa Hiking Shoe (Toddler/Little Kid),image/jpg,2446edc5c60ca7d11ab180e4339f3dda.jpg,53.95,48,871209718238,"[""medium"",""single_site"",""street_front""]",DEFAULT,,
479362ac-0e21-46b0-9fbf-93a49444e7bf,,default,COMPLETE,2016-11-21T18:25:52.048000000,anonymous,2016-11-18T12:11:02.0.4992198,Champion Eco Fleece Pullover Hoodie is made of a s...,,,47.59889706,-122.3050799,Champion Men's Pullover Eco Fleece Hoodie [],image/jpg,764e34ebe7e893c4e24c2daf437c783a.jpg,19.46,63,011919618644,"[""small"",""chain_store"",""in_mall""]",DEFAULT,,
2dbfe405-c303-4b0a-8679-c6e43047e424,,default,COMPLETE,2016-11-21T18:25:52.081000000,anonymous,2016-11-18T12:11:02.0.3187307,Cotton/Spandex. Tank ballet cut leotard features M...,,,47.60386356,-122.3662084,Capezio Girls' High-Neck Tank Leotard [],image/jpg,830f3e8497f02af13456c4562d81e707.jpg,22.73,88,097507746913,"[""large"",""chain_store"",""street_front""]",DEFAULT,,
731991a6-5a5c-4ea8-a439-c63c079bcb56,,default,COMPLETE,2016-11-21T18:25:52.118000000,anonymous,2016-11-18T12:11:02.0.5986122,These scrub pants are mid-rise with an easy fashio...,,,47.64875728,-122.280189,WonderWink Women's Scrub Cargo Pant [],image/jpg,769ec9fd443dfca0bfc137b33cdf35c5.jpg,18.98,62,847153087515,"[""large"",""chain_store"",""street_front""]",DEFAULT,,
5b0ae272-93a2-484a-8b4f-27258193e5c9,,default,COMPLETE,2016-11-21T18:25:52.148000000,anonymous,2016-11-18T12:11:02.0.5398814,These scrub pants are mid-rise with an easy fashio...,,,47.63326637,-122.3831594,WonderWink Women's Scrub Cargo Pant [],image/jpg,134f82a20a76d8ddc82e7a5442985fc3.jpg,20.98,26,847153087706,"[""small"",""chain_store"",""street_front""]",DEFAULT,,
67ee0a84-81cb-47b5-9c31-5a455ea5b441,,default,COMPLETE,2016-11-21T18:25:52.248000000,anonymous,2016-11-18T12:11:02.0.3556508,These scrub pants are mid-rise with an easy fashio...,,,47.73958599,-122.3069604,WonderWink Women's Scrub Cargo Pant [],image/jpg,6579eceb05f643639f6100d0514f8341.jpg,17.98,47,847153087409,"[""small"",""chain_store"",""street_front""]",DEFAULT,,
2e57d226-4b3b-48ba-ba0d-aeaa6838ff2a,,default,COMPLETE,2016-11-21T18:25:52.280000000,anonymous,2016-11-18T12:11:02.0.4981569,Our classic relaxed pant comes with an elastic wai...,,,47.61953884,-122.3171362,Landau Women's Classic Relaxed Scrub Pant [],image/jpg,ca4804c16788f804874266fec1be80dd.jpg,17.85,41,708695325285,"[""small"",""chain_store"",""in_mall""]",DEFAULT,,
bdbfb0e0-d960-47ec-8646-eccedf64421f,,default,COMPLETE,2016-11-21T18:25:52.313000000,anonymous,2016-11-18T12:11:02.0.6348157,Women will love these Dickies classic work pants F...,,,47.69663173,-122.3468793,Dickies Women's Original Work Pant with Wrinkle And Stain Resistance [],image/jpg,a372108b82839f576191345dda7d36fb.jpg,23.99,23,607645561004,"[""medium"",""chain_store"",""street_front""]",DEFAULT,,
8647e956-ef87-4f4b-b698-539aaa086cb2,,default,COMPLETE,2016-11-21T18:25:52.346000000,anonymous,2016-11-18T12:11:02.0.6833517,65% Polyester/35% Cotton. Imported. Machine Wash. ...,,,47.61811999,-122.3815984,Dickies Men's Slim Straight Fit Work Pant [],image/jpg,669c48c62a56c05f0b987b9478c8b791.jpg,20.99,24,607645519524,"[""online""]",DEFAULT,,
ba642fa5-d8ab-4844-8094-313fcacf730c,,default,COMPLETE,2016-11-21T18:25:52.379000000,anonymous,2016-11-18T12:11:02.0.4865296,Popular womens Dreamgirl costume includes stretch ...,,,47.63091604,-122.3651288,Dreamgirl Women's Makin' Waves Costume [],image/jpg,134692316b04ac9b649c145a826fc93e.jpg,20.71,80,876802086746,"[""small"",""single_site"",""in_mall""]",DEFAULT,,
07ac9b77-32e0-4e55-8c90-431b9b7ff289,,default,COMPLETE,2016-11-21T18:25:52.413000000,anonymous,2016-11-18T12:11:02.0.4126101,98% Cotton/2% Spandex. Imported. Machine Wash. Fiv...,,,47.63025246,-122.3259191,Southpole Juniors Basic Uniform Bootcut Pant [],image/jpg,bc59170d3014aeb7fa95a08d0c1caf79.jpg,17.98,83,884889445264,"[""medium"",""chain_store"",""in_mall""]",DEFAULT,,
21633183-b5b8-48f3-9d12-43e91cbb1c7a,,default,COMPLETE,2016-11-21T18:25:52.446000000,anonymous,2016-11-18T12:11:02.0.1047161,A v-neck top features a slightly curved front yoke...,,,47.6269524,-122.3258303,Cherokee Women's Workwear Scrubs V-Neck Top [],image/jpg,ac400af996f1ca8df60a8516c6bf6409.jpg,17.98,26,737314039722,"[""online""]",DEFAULT,,
9c317278-c391-4ec6-b604-adcca2f27b4f,,default,COMPLETE,2016-11-21T18:25:52.549000000,anonymous,2016-11-18T12:11:02.0.4848421,These Maevn drawstring scrubs have an elastic back...,,,47.57744725,-122.3666886,Maevn Women's 'Core' Half Back Elastic & Drawstring Flare Leg Srub Pant [],image/jpg,f35d6c964e72b77440e27fff3fb20d1a.jpg,18.98,89,846858022876,"[""medium"",""single_site"",""in_mall""]",DEFAULT,,
81c90e7e-c2dc-4398-a092-0037729b8bad,,default,COMPLETE,2016-11-21T18:25:52.995000000,anonymous,2016-11-18T12:11:02.0.6520783,"65% Polyester, 35% Cotton. Imported. Machine Wash...",,,47.62295616,-122.2857627,Cherokee Women's Workwear Scrubs Tie Back Mock Wrap Tunic [],image/jpg,1e4b40727dc6a1dedc64b1345dbfb3f8.jpg,16.98,28,737314331567,"[""medium"",""single_site"",""in_mall""]",DEFAULT,,
af5d4d9b-7e47-4168-9ab3-a72f1e733374,,default,COMPLETE,2016-11-21T18:25:53.031000000,anonymous,2016-11-18T12:11:02.0.4137534,"65% Polyester, 35% Cotton. Imported. Machine Wash...",,,47.62922579,-122.3565123,Cherokee Women's Workwear Scrubs Tie Back Mock Wrap Tunic [],image/jpg,a820e655249b90d9e3ed4a4e7acb4a55.jpg,17.98,47,737314331703,"[""large"",""single_site"",""in_mall""]",DEFAULT,,
fc776d4e-72ff-4a8b-bb90-2a9379af6295,,default,COMPLETE,2016-11-21T18:25:53.064000000,anonymous,2016-11-18T12:11:02.0.0533069,"This traditional classic fit, natural rise pull-on...",,,47.66446515,-122.3145651,Cherokee Women's Workwear Scrubs Pull-On Pant [],image/jpg,f19eac02fb2d38c119712ae579e74adf.jpg,16.98,29,724841404017,"[""medium"",""chain_store"",""in_mall""]",DEFAULT,,
b55323f6-4e1a-45fd-893b-4b60c1d47c4c,,default,COMPLETE,2016-11-21T18:25:53.096000000,anonymous,2016-11-18T12:11:02.0.2000331,"Button front, cardigan warm-up with two patch pock...",,,47.67015513,-122.3412508,Cherokee Women's Workwear Scrubs Cardigan Warm-Up Jacket [],image/jpg,e86d3a761353478ca4c1d9c1044bd7a7.jpg,18.98,68,724841643546,"[""large"",""single_site"",""in_mall""]",DEFAULT,,
e541e5c7-e7ac-4579-a419-1758d784468f,,default,COMPLETE,2016-11-21T18:25:53.130000000,anonymous,2016-11-18T12:11:02.0.1052093,"This traditional classic fit, elastic waist utilit...",,,47.65454487,-122.3605119,Cherokee Women's Workwear Scrubs Pull-On Cargo Pant [],image/jpg,49c1590b1f4e2ea1dc51027a18f6557f.jpg,16.98,67,724841411411,"[""small"",""single_site"",""in_mall""]",DEFAULT,,
b646e63f-8c1b-44a4-ade1-6593a99d466c,,default,COMPLETE,2016-11-21T18:25:53.161000000,anonymous,2016-11-18T12:11:02.0.4411900,Never Say Never is known for its innovative floral...,,,47.68511805,-122.3752304,Cosabella Women's Never Say Never Prettie Underwire Bra [],image/jpg,e108a0029652d61883fa0ecbc31bb2e0.jpg,60.95,49,887981167140,"[""small"",""single_site"",""in_mall""]",DEFAULT,,
8b2c281b-d0e1-46e9-8410-45605690d28d,,default,COMPLETE,2016-11-21T18:25:53.197000000,anonymous,2016-11-18T12:11:02.0.9249480,Our basic 7 inch bike short offers the coverage yo...,,,47.68643661,-122.335896,Danskin Women's Essentials Seven Inch Bike Short [],image/jpg,e5b8e793d36a28a349fbc17af478dbbf.jpg,17.98,28,043475429013,"[""small"",""single_site"",""in_mall""]",DEFAULT,,
4251f47c-0c85-46ab-8d23-ee091f637c30,,default,COMPLETE,2016-11-21T18:25:53.246000000,anonymous,2016-11-18T12:11:02.0.7238296,"A traditional classic fit, round neck snap front w...",,,47.67936699,-122.3627195,Cherokee Women's Workwear Scrub Warm-Up Jacket [],image/jpg,e786b26731ce1624a4e5eb3a56fc15a2.jpg,17.98,69,716605695137,"[""online""]",DEFAULT,,
9c7d555e-daa7-4257-a145-ef24b9d18668,,default,COMPLETE,2016-11-21T18:25:53.296000000,anonymous,2016-11-18T12:11:02.0.8122745,Package Includes 1 Adult Mouthguard. Your Choice o...,,,47.71573008,-122.3251717,SISU Mouth Guard 1.6 [],image/jpg,8e0a46eb28f842106aaeb9650a7aba38.jpg,23.99,68,175067209687,"[""medium"",""chain_store"",""in_mall""]",DEFAULT,,
e12fb544-6370-4dc5-8a08-b3e9717d1f75,,default,COMPLETE,2016-11-21T18:25:53.370000000,anonymous,2016-11-18T12:11:02.0.5704303,"65% Polyester, 35% Cotton. Imported. Machine Wash...",,,47.63684539,-122.3029195,Cherokee Women's Workwear Scrubs Tie Back Mock Wrap Tunic [],image/jpg,8b7cd988e397ae3e0b2b2d34f1e86f58.jpg,18.98,44,737314084630,"[""medium"",""chain_store"",""in_mall""]",DEFAULT,,
65a8fe5f-9489-464b-9644-6c7ea041ea0a,,default,COMPLETE,2016-11-21T18:25:53.688000000,anonymous,2016-11-18T12:11:02.0.7024054,"Specifications * Input Voltage: 100-240V, 50/60Hz ...",,,47.64553545,-122.3334886,"MarsLG 5-Level Dimmable Touch Switch Flex Neck LED Desk Lamp 6 Watt, 2407WH",image/jpg,316a413462d3386d58c3bc923d39b550.jpg,18.98,50,609207163473,"[""large"",""chain_store"",""street_front""]",DEFAULT,,
464f8611-4378-489d-a50d-d44f23832049,,default,COMPLETE,2016-11-21T18:25:53.728000000,anonymous,2016-11-18T12:11:02.0.2691491,Get a tremendous value with the Natural Uniforms C...,,,47.62380155,-122.3517037,Natural Uniforms Women's Contrast Trim Scrub Set [],image/jpg,d5f652570733c2c345fb2bd0f775d0d3.jpg,16.98,31,797734111736,"[""medium"",""chain_store"",""street_front""]",DEFAULT,,
4c6b026c-e72e-47eb-b535-36b63a5e41c6,,default,COMPLETE,2016-11-21T18:25:53.761000000,anonymous,2016-11-18T12:11:02.0.7160011,"This traditional classic fit, natural rise pull-on...",,,47.62398073,-122.2833588,Cherokee Women's Workwear Scrubs Pull-On Pant [],image/jpg,6c950dfcb494d740368d989dde0b5406.jpg,15.98,68,724841403232,"[""online""]",DEFAULT,,
aae774f2-d686-42e4-ba45-893eafd23adf,,default,COMPLETE,2016-11-21T18:25:53.799000000,anonymous,2016-11-18T12:11:02.0.2753063,gDiapers are redefining diapers by giving parents ...,,,47.69076964,-122.2968207,"gDiapers gPants, Genius Blue, Small []",image/jpg,f539a25e68f55f90cc7459bb67e465ef.jpg,17.98,45,816669010867,"[""large"",""chain_store"",""in_mall""]",DEFAULT,,
54473d66-f8b8-4952-a056-ee8a7fdd831b,,default,COMPLETE,2016-11-21T18:25:53.829000000,anonymous,2016-11-18T12:11:02.0.5831127,About Jerzees We are a leading global company spec...,,,47.6317615,-122.3128665,Jerzees Men's Super Sweats Crew Neck Sweatshirt [],image/jpg,14cbd5c1a14955dfa8f9789f0067be47.jpg,15.97,62,885306015824,"[""medium"",""single_site"",""street_front""]",DEFAULT,,
3a1765d1-7fbf-4842-a73a-3326b618d9d6,,default,COMPLETE,2016-11-21T18:25:53.869000000,anonymous,2016-11-18T12:11:02.0.7974170,The Secret is Out. The Best Facial Cleansing Brush...,,,47.66947963,-122.3400817,Compatible Replacement Cashmere Cleanse Facial Brush Heads(2 Pack),image/jpg,b3dd1f057d9b7501403a0e3ed4d910b4.jpg,17.89,26,708191229483,"[""medium"",""single_site"",""street_front""]",DEFAULT,,
5eddefe1-31a7-43d9-82f1-b0bb5a6bda27,,default,COMPLETE,2016-11-21T18:25:53.909000000,anonymous,2016-11-18T12:11:02.0.0361584,This vehicle specific SU fit Hook set is designed ...,,,47.63999157,-122.2904432,INNO SU Fit Hook Set [],image/jpg,d44b163988c8fa748d6b703be248f986.jpg,70.38,89,047998533196,"[""medium"",""single_site"",""street_front""]",DEFAULT,,
35d82674-4f21-41c0-baee-81a84e556b0b,,default,COMPLETE,2016-11-21T18:25:53.937000000,anonymous,2016-11-18T12:11:02.0.4373653,Compatibility:Acer Aspire,,,47.68988208,-122.3217935,"Pwr+ 65W Extra Long 14 Ft AC-Adapter-Laptop-Charger for Acer-Aspire V5-V7-V3-R7-S3-E1-M5, 5532-5349-5750-5742-5250 5253 5733 5534 5336 5552 5560; TravelMate-B1-B113-P6-P645-P2-P4-X4 Cord",image/jpg,ec60e915225bf0007f052d396828d407.jpg,15.89,26,,"[""online""]",DEFAULT,,
813a60b6-750e-493c-9281-46f41dc0d52a,,default,COMPLETE,2016-11-21T18:25:53.973000000,anonymous,2016-11-18T12:11:02.0.3540826,These Boxercraft Flannel Pants are comfortable and...,,,47.65484387,-122.3474381,Boxercraft Flannel Pants [],image/jpg,37b0032dfbc7874091feda2bcccd912e.jpg,20.0,90,638529780631,"[""large"",""single_site"",""street_front""]",DEFAULT,,
