_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,Source,Procedure_id,Time,Temperature,_row_etag,_filter_type,_filter_value
ea593606-6c6c-48f7-9fcf-d6fe7be2d8ad,,default,COMPLETE,2014-02-21T19:33:52.063000000,,UKZN Lab Milk A,1338122768,0,17.9,,,
34015068-e22e-4720-b4df-41c2c8e5c87f,,default,COMPLETE,2014-02-21T19:33:52.065000000,,UKZN Lab Milk A,1338122768,1,17.8,,,
25282811-6e63-4916-9d9c-ef9517723dcb,,default,COMPLETE,2014-02-21T19:33:52.067000000,,UKZN Lab Milk A,1338122768,2,17.9,,,
d12bc7a4-07de-4982-8d42-8e5ec97f910f,,default,COMPLETE,2014-02-21T19:33:52.070000000,,UKZN Lab Milk A,1338122768,3,17.9,,,
d61438d3-d483-46ff-8090-bfa0c9f18105,,default,COMPLETE,2014-02-21T19:33:52.071000000,,UKZN Lab Milk A,1338122768,4,17.9,,,
434a40f8-25ad-4297-a30c-e5cc05a61b3d,,default,COMPLETE,2014-02-21T19:33:52.073000000,,UKZN Lab Milk A,1338122768,5,17.8,,,
18b619e1-9fdc-49fc-9ffe-b45f691c52a3,,default,COMPLETE,2014-02-21T19:33:52.075000000,,UKZN Lab Milk A,1338122768,6,17.9,,,
fb902d0f-f1d2-4c0f-95ab-8d968282053b,,default,COMPLETE,2014-02-21T19:33:52.077000000,,UKZN Lab Milk A,1338122768,7,17.9,,,
32baadc2-7f44-467d-ab51-dd5aada2d527,,default,COMPLETE,2014-02-21T19:33:52.078000000,,UKZN Lab Milk A,1338122768,8,17.9,,,
a9be61da-caa2-4511-800a-6cb00faad5a3,,default,COMPLETE,2014-02-21T19:33:52.080000000,,UKZN Lab Milk A,1338122768,9,17.9,,,
011633e1-7934-47d3-827e-c61eec4944b5,,default,COMPLETE,2014-02-21T19:33:52.082000000,,UKZN Lab Milk A,1338122768,10,17.9,,,
d9755937-15c2-4820-a8ef-ee0c1bcb5da1,,default,COMPLETE,2014-02-21T19:33:53.014000000,,UKZN Lab Milk A,1338122768,11,17.9,,,
d63a876e-7ebd-4ec1-bd32-236a77d9ba13,,default,COMPLETE,2014-02-21T19:33:53.016000000,,UKZN Lab Milk A,1338122768,12,17.9,,,
3ce38b5a-1c71-48c4-9b49-0613801ab97a,,default,COMPLETE,2014-02-21T19:33:53.018000000,,UKZN Lab Milk A,1338122768,13,17.9,,,
db067a3a-a722-479a-9f0b-421225194e04,,default,COMPLETE,2014-02-21T19:33:53.019000000,,UKZN Lab Milk A,1338122768,14,17.9,,,
539948df-85f8-4617-9eb3-09846e9784d6,,default,COMPLETE,2014-02-21T19:33:53.021000000,,UKZN Lab Milk A,1338122768,15,17.9,,,
04dc5b0c-e086-4b7d-b07b-05b68c151ac6,,default,COMPLETE,2014-02-21T19:33:53.023000000,,UKZN Lab Milk A,1338122768,16,17.9,,,
853df9b8-f6dc-4aa0-a9f9-554969b0d21b,,default,COMPLETE,2014-02-21T19:33:53.025000000,,UKZN Lab Milk A,1338122768,17,18.1,,,
66c5a343-cadf-4ec9-99ec-d8c8590c4edd,,default,COMPLETE,2014-02-21T19:33:53.027000000,,UKZN Lab Milk A,1338122768,18,18.2,,,
13a0270a-2105-4aac-a3bc-0fd8f38c1c1a,,default,COMPLETE,2014-02-21T19:33:53.029000000,,UKZN Lab Milk A,1338122768,19,18.2,,,
22681285-cb09-4e3c-ba6c-9a21f587d3bd,,default,COMPLETE,2014-02-21T19:33:53.031000000,,UKZN Lab Milk A,1338122768,20,18.4,,,
82d7bed2-1f27-4ad1-952c-a4c75e1b4667,,default,COMPLETE,2014-02-21T19:33:53.034000000,,UKZN Lab Milk A,1338122768,21,18.5,,,
61b4d1bb-b065-4c42-bf55-9198026aad73,,default,COMPLETE,2014-02-21T19:33:53.036000000,,UKZN Lab Milk A,1338122768,22,18.6,,,
99eb072b-8d31-402e-afbb-053e32617991,,default,COMPLETE,2014-02-21T19:33:53.038000000,,UKZN Lab Milk A,1338122768,23,18.6,,,
c39beb59-49a2-436c-bd39-7c1c32bcc5ab,,default,COMPLETE,2014-02-21T19:33:53.042000000,,UKZN Lab Milk A,1338122768,24,18.7,,,
721dabfe-e085-4b89-b22e-0b8abe108aaf,,default,COMPLETE,2014-02-21T19:33:53.044000000,,UKZN Lab Milk A,1338122768,25,18.8,,,
03a3771a-6ba6-4a64-8fe2-32e0f43bb53d,,default,COMPLETE,2014-02-21T19:33:53.046000000,,UKZN Lab Milk A,1338122768,26,18.9,,,
606cacbb-d5db-4370-bedd-8b6a6d35c790,,default,COMPLETE,2014-02-21T19:33:53.048000000,,UKZN Lab Milk A,1338122768,27,19.1,,,
6aaefdd4-8c76-469f-a43d-8d5720d8a969,,default,COMPLETE,2014-02-21T19:33:53.050000000,,UKZN Lab Milk A,1338122768,28,19.1,,,
90390cb7-6958-46d0-a791-7fbb0847b43a,,default,COMPLETE,2014-02-21T19:33:53.052000000,,UKZN Lab Milk A,1338122768,29,19.1,,,
1ca0da61-1045-4295-8a5c-f965075674d2,,default,COMPLETE,2014-02-21T19:33:53.054000000,,UKZN Lab Milk A,1338122768,30,19.1,,,
626ff7b0-a23c-492f-a5d9-e369f768362b,,default,COMPLETE,2014-02-21T19:33:53.056000000,,UKZN Lab Milk A,1338122768,31,19,,,
b2f0a6bc-b9fa-44ad-9eb1-9c3d39ca4403,,default,COMPLETE,2014-02-21T19:33:53.059000000,,UKZN Lab Milk A,1338122768,32,18.9,,,
18ae9e5c-0347-4f70-b063-d0f2b9907358,,default,COMPLETE,2014-02-21T19:33:53.061000000,,UKZN Lab Milk A,1338122768,33,18.9,,,
f1d1217b-a3a4-42f7-bf38-02f133c4a5c6,,default,COMPLETE,2014-02-21T19:33:53.063000000,,UKZN Lab Milk A,1338122768,34,18.9,,,
cdf25c95-d3a7-429a-a668-3faace631f2e,,default,COMPLETE,2014-02-21T19:33:53.065000000,,UKZN Lab Milk A,1338122768,35,18.8,,,
90e81e30-9da8-40fb-b876-9e7c8cc76e63,,default,COMPLETE,2014-02-21T19:33:53.066000000,,UKZN Lab Milk A,1338122768,36,18.8,,,
483e43ce-1028-4fa6-a256-15cb64c15029,,default,COMPLETE,2014-02-21T19:33:53.068000000,,UKZN Lab Milk A,1338122768,37,18.8,,,
328e5c19-e71d-461d-9950-0abcc5f2ed77,,default,COMPLETE,2014-02-21T19:33:53.070000000,,UKZN Lab Milk A,1338122768,38,18.8,,,
386a78a8-b989-4b8b-8f89-e05bf4e77b63,,default,COMPLETE,2014-02-21T19:33:53.071000000,,UKZN Lab Milk A,1338122768,39,18.8,,,
e0a9afde-cd94-47e1-9655-b9098f40dc7f,,default,COMPLETE,2014-02-21T19:33:53.073000000,,UKZN Lab Milk A,1338122768,40,18.9,,,
86608ad7-3f2e-40d0-a12e-0d705b284229,,default,COMPLETE,2014-02-21T19:33:53.075000000,,UKZN Lab Milk A,1338122768,41,19.1,,,
